iter	Passed	Remaining
823	2742	585
824	2745	582
825	2748	578
826	2751	575
827	2755	572
828	2758	569
829	2761	565
830	2764	562
831	2767	558
832	2771	555
833	2774	552
834	2777	548
835	2780	545
836	2784	542
837	2788	539
838	2791	535
839	2794	532
840	2797	528
841	2801	525
842	2804	522
843	2807	518
844	2810	515
845	2813	512
846	2817	508
847	2820	505
848	2824	502
849	2827	498
850	2830	495
851	2833	492
852	2836	488
853	2839	485
854	2842	482
855	2845	478
856	2848	475
857	2852	472
858	2856	468
859	2859	465
860	2862	462
861	2865	458
862	2868	455
863	2871	452
864	2874	448
865	2877	445
866	2880	441
867	2884	438
868	2887	435
869	2890	431
870	2893	428
871	2896	425
872	2900	421
873	2903	418
874	2906	415
875	2909	411
876	2912	408
877	2915	405
878	2918	401
879	2921	398
880	2924	395
881	2928	391
882	2931	388
883	2934	385
884	2937	381
885	2941	378
886	2944	375
887	2948	371
888	2951	368
889	2954	365
890	2957	361
891	2960	358
892	2964	355
893	2968	351
894	2971	348
895	2974	345
896	2977	341
897	2980	338
898	2983	335
899	2986	331
900	2989	328
901	2992	325
902	2995	321
903	2999	318
904	3002	315
905	3005	311
906	3008	308
907	3011	305
908	3015	301
909	3018	298
910	3021	295
911	3024	291
912	3026	288
913	3030	285
914	3033	281
915	3036	278
916	3038	275
917	3042	271
918	3045	268
919	3048	265
920	3051	261
921	3054	258
922	3057	255
923	3059	251
924	3063	248
925	3066	245
926	3069	241
927	3072	238
928	3077	235
929	3081	231
930	3084	228
931	3087	225
932	3090	221
933	3093	218
934	3097	215
935	3099	211
936	3102	208
937	3105	205
938	3109	201
939	3112	198
940	3115	195
941	3119	192
942	3122	188
943	3125	185
944	3129	182
945	3132	178
946	3135	175
947	3138	172
948	3141	168
949	3144	165
950	3147	162
951	3151	158
952	3154	155
953	3157	152
954	3160	148
955	3163	145
956	3166	142
957	3170	138
958	3173	135
959	3176	132
960	3179	129
961	3182	125
962	3185	122
963	3188	119
964	3192	115
965	3195	112
966	3198	109
967	3201	105
968	3204	102
969	3208	99
970	3212	95
971	3215	92
972	3218	89
973	3222	86
974	3229	82
975	3232	79
976	3236	76
977	3239	72
978	3245	69
979	3249	66
980	3253	63
981	3258	59
982	3262	56
983	3265	53
984	3269	49
985	3274	46
986	3277	43
987	3281	39
988	3285	36
989	3289	33
990	3295	29
991	3298	26
992	3302	23
993	3309	19
994	3312	16
995	3315	13
996	3318	9
997	3325	6
998	3328	3
999	3332	0
